ID      Lat             Long            Name                    Address         City    Zip             Country
1	52.13592	-0.47234	The Pilgrims Progress	42 Midland Road	Bedford	MK40 1QB	United Kingdom
2	54.57572	-1.23815	The Issac Wilson	61 Wilson Street	Middlesbrough	TS1 1SF	United Kingdom
3	51.52024	-0.72131	Greyhound	86-92 Queen Street	Maidenhead	SL6 1HT	United Kingdom
4	51.5033652	-0.0455953	The Robert Fitz Harding 24	Cannon Street	Bristol-Bedminster	BS3 1BN	United Kingdom
5	51.44125	-2.60119	The Walkabout	Temple Pl	London	WC2R 2PH	United Kingdom
6	53.3986588	-2.9890052	The Baltic Fleet	33A Wapping	Liverpool	L1 8DQ	 UK
7	51.080098	-2.102202	The Beckford Arms	Fonthill Gifford	 Salisbury	 SP3 6PX	 UK
8	51.5600012	-0.709736	Bel&The Dragon	High Street	Cookham 	SL6 9SQ	 United Kingdom
9	51.5130172	-1.2026425	The Bell Inn	Aldworth	Reading RG8 9SE	RG8 9SE	 United Kingdom
10	55.9417019	-3.2053191	Bennets Bar	8 Leven St	Edinburgh	EH3 9LG	UK
11	55.4915678	-5.307992	Black Bull Pub	12 Grassmarket	Edinburgh	EH1 2JU	 UK
12	51.3439208	0.9588903	The Sportsman	Faversham Rd, Seasalterr	Whitstable	CT5 4BP	UK
13	53.8953009	-0.5352117	The Pipe and Glass Inn	West End,South Dalton	East Yorkshire	HU17 7PN	UK
14	54.2309371	-1.0124157	The Star	Main St	Harome,York	YO62 5JE	UK
15	51.5716286	-0.7792897	The Coach	3 West Street	Marlow,Buckinghamshire	SL7 2LS	UK
16	51.349802	-2.592921	The Pony & Trap	Newtown Chew Magna	Bristol	BS40 8TQ	UK
17	53.832085	-2.3909678	Freemasons	8 Vicarage Fold	Wiswell, Clitheroe, Lancashire	BB7 9DF	UK
18	51.483002	-0.199569	Harwood Arms	27 Walham Grove,Fulham	London	SW6 1QP	UK
19	51.797409	-2.995319	The Hardwick	Old Raglan Road,Abergavenny	Monmouthshire,Wales	NP7 9AA	UK
20	50.722521	-2.82566	The Archor Inn	Seatown	Bridport	DT6 6JU	United Kingdom
21	54.5946812	-5.9362752	The Crown Liquor Saloon	46 Great Victoria St	Belfast	BT2 7BA	UK
